text_context,label,event_id,is_event_member,rendering_order,parent_index,depth,contains_date,contains_time,text_length,score,row_id,pred_cluster
non-member-,Other,,0,596,591,19,False,False,11,0.9158063978058429,2739,12
$400 (member or non-member),Other,,0,599,598,19,False,False,27,0.9744179246869122,2741,12
rmacac 4 corners college fair @ bond wilson technical center,NameLocation,3.0,1,604,601,19,False,False,60,0.9662672651118979,2742,12
bond wilson technical center,Location,3.0,1,609,608,20,False,False,28,0.6003745824903617,2743,12
540 county rd 6580,Location,3.0,1,612,611,21,False,False,18,0.9717282027438837,2744,12
"kirtland, nm 87417",Location,3.0,1,614,613,21,False,False,18,0.9959219373937773,2745,12
"tuesday, september 30, 2025",Date,3.0,1,615,600,18,True,False,27,0.9961153368949568,2746,12
1:00pm - 3:00pm,StartEndTime,3.0,1,617,616,19,False,True,15,0.9994036826688051,2747,12
1:00pm - 3:00pm,StartEndTime,3.0,1,617,616,19,False,True,15,0.9994036826688051,2747,12
member-,Other,,0,619,618,19,False,False,7,0.9132944099768334,2748,12
non-member-,Other,,0,621,618,19,False,False,11,0.9157053564256686,2750,12
member-,Other,,0,626,624,20,False,False,7,0.1643249835237136,2752,12
non-member-,Other,,0,628,623,19,False,False,11,0.6145435688476532,2754,12
$400 (member or non-member),Other,,0,631,630,19,False,False,27,0.9883348543369574,2756,12
"late registrations may be excluded from printed materials, website, and/or alphabetical placement at fair.",Other,,0,634,632,14,False,False,106,0.10432588918887933,2758,12
additional tables may be available for $100 each.,Other,,0,636,635,14,False,False,49,0.6052179873459025,2759,12
"for more information, contact brooke gabrielli, college fairs chair at",Other,,0,641,640,14,False,False,70,0.2858893336038545,2760,12
"april 13-15, 2026",Other,,0,684,683,9,True,False,17,0.7467613327922491,2775,13
