text_context,label,event_id,is_event_member,rendering_order,parent_index,depth,contains_date,contains_time,text_length,score,row_id,pred_cluster
03/07/2026 10:00am to 1:00pm,DateTime,15.0,1,336,335,11,True,True,28,0.9773351007219747,245,1
10/07/2025 1:37pm,Other,,0,346,345,11,True,True,17,0.867048499023673,249,1
03/09/2026 6:00pm to 8:00pm,DateTime,16.0,1,349,348,11,True,True,27,0.9871897751506747,250,1
01/07/2025 12:35pm,Other,,0,359,358,11,True,True,18,0.8057168949765544,254,1
03/10/2026 9:00am to 11:00am,DateTime,17.0,1,362,361,11,True,True,28,0.9558977228900295,255,1
01/31/2025 9:30am,Other,,0,372,371,11,True,True,17,0.7346252201609447,259,1
03/10/2026 2:00pm to 3:30pm,DateTime,18.0,1,375,374,11,True,True,27,0.9618924396600239,260,1
02/12/2025 9:07am,Other,,0,385,384,11,True,True,17,0.8432635583821598,264,1
03/10/2026 6:00pm to 7:30pm,DateTime,19.0,1,388,387,11,True,True,27,0.9693135526698219,265,1
02/10/2025 9:18am,Other,,0,398,397,11,True,True,17,0.8344680469460464,269,1
03/11/2026 6:00pm to 8:00pm,DateTime,20.0,1,401,400,11,True,True,27,0.9484903178678733,270,1
strivescan credit required (included in event registration),Other,,0,409,408,11,False,False,59,0.7691140500235892,273,1
06/05/2025 2:44pm,Other,,0,411,410,11,True,True,17,0.788613754445869,274,1
03/12/2026 6:00pm to 7:30pm,DateTime,21.0,1,414,413,11,True,True,27,0.9794682724321849,275,1
02/10/2025 8:52am,Other,,0,424,423,11,True,True,17,0.8432635583821598,279,1
03/16/2026 6:30pm to 8:00pm,DateTime,22.0,1,427,426,11,True,True,27,0.9785894052537236,280,1
07/09/2025 9:56am,Other,,0,437,436,11,True,True,17,0.8252188729037399,284,1
03/16/2026 6:30pm to 8:00pm,DateTime,23.0,1,440,439,11,True,True,27,0.9888571063063697,285,1
11/12/2025 11:15am,Other,,0,450,449,11,True,True,18,0.912998162531692,289,1
03/17/2026 6:00pm to 8:00pm,DateTime,24.0,1,453,452,11,True,True,27,0.9800084049182083,290,1
12/18/2024 12:45pm,Other,,0,463,462,11,True,True,18,0.7319077894350616,294,1
03/18/2026 6:00pm to 7:30pm,DateTime,25.0,1,466,465,11,True,True,27,0.9856546468493115,295,1
strivescan credit required (included in event registration),Other,,0,474,473,11,False,False,59,0.789996421009493,298,1
01/07/2025 2:31pm,Other,,0,476,475,11,True,True,17,0.7346252201609447,299,1
03/18/2026 6:00pm to 8:00pm,DateTime,26.0,1,479,478,11,True,True,27,0.9609733960220371,300,1
strivescan credit required (included in event registration),Other,,0,487,486,11,False,False,59,0.7409890880337104,303,1
03/17/2025 3:40pm,Other,,0,489,488,11,True,True,17,0.8553568917972032,304,1
03/19/2026 10:00am to 12:00pm,DateTime,27.0,1,492,491,11,True,True,29,0.9725820414475345,305,1
strivescan credit required (included in event registration),Other,,0,500,499,11,False,False,59,0.7493329431256595,308,1
01/31/2025 8:51am,Other,,0,502,501,11,True,True,17,0.8501313189081808,309,1
03/19/2026 6:30pm to 8:00pm,DateTime,28.0,1,505,504,11,True,True,27,0.9824697667047552,310,1
07/07/2025 9:24am,Other,,0,515,514,11,True,True,17,0.7939990135020716,314,1
03/24/2026 5:30pm to 7:30pm,DateTime,29.0,1,518,517,11,True,True,27,0.9651849664257892,315,1
strivescan credit required (included in event registration),Other,,0,526,525,11,False,False,59,0.785289590783808,318,1
04/14/2025 8:37am,Other,,0,528,527,11,True,True,17,0.839095743670556,319,1
03/25/2026 6:30pm to 8:00pm,DateTime,30.0,1,531,530,11,True,True,27,0.9852583939806581,320,1
strivescan credit required (included in event registration),Other,,0,539,538,11,False,False,59,0.7447086161488602,323,1
02/09/2025 1:14pm,Other,,0,541,540,11,True,True,17,0.8701117779934238,324,1
03/26/2026 7:00pm to 8:30pm,DateTime,31.0,1,544,543,11,True,True,27,0.989036197768473,325,1
02/13/2025 12:45pm,Other,,0,554,553,11,True,True,18,0.8672594645912876,329,1
03/31/2026 1:00pm to 3:00pm,DateTime,32.0,1,557,556,11,True,True,27,0.9794832420549551,330,1
01/18/2026 1:56pm,Other,,0,567,566,11,True,True,17,0.7918672522544087,334,1
03/31/2026 5:30pm to 7:00pm,DateTime,33.0,1,570,569,11,True,True,27,0.9693135526698219,335,1
06/09/2025 9:10am,Other,,0,580,579,11,True,True,17,0.8701117779934238,339,1
04/01/2026 6:00pm to 7:30pm,DateTime,34.0,1,583,582,11,True,True,27,0.98506848780657,340,1
student scanning will not be offered,Other,,0,591,590,11,False,False,36,0.7632688634146503,343,1
05/20/2025 1:36pm,Other,,0,593,592,11,True,True,17,0.7014522380525507,344,1
04/02/2026 6:00pm to 7:30pm,DateTime,35.0,1,596,595,11,True,True,27,0.9438776014246851,345,1
06/09/2025 9:07am,Other,,0,606,605,11,True,True,17,0.867048499023673,349,1
04/07/2026 6:00pm to 8:00pm,DateTime,36.0,1,609,608,11,True,True,27,0.9871897751506747,350,1
strivescan credit required (included in event registration),Other,,0,617,616,11,False,False,59,0.7181281070431009,353,1
01/17/2025 1:11pm,Other,,0,619,618,11,True,True,17,0.8501313189081808,354,1
04/08/2026 6:30pm to 8:30pm,DateTime,37.0,1,622,621,11,True,True,27,0.9785894052537236,355,1
strivescan credit required (included in event registration),Other,,0,630,629,11,False,False,59,0.7688166818558859,358,1
12/20/2024 9:16am,Other,,0,632,631,11,True,True,17,0.8635047091037346,359,1
04/09/2026 6:00pm to 8:00pm,DateTime,38.0,1,635,634,11,True,True,27,0.9483649386969891,360,1
12/19/2024 2:36pm,Other,,0,645,644,11,True,True,17,0.8635047091037346,364,1
04/13/2026 6:00pm to 7:30pm,DateTime,39.0,1,648,647,11,True,True,27,0.9912734354956653,365,1
05/06/2025 2:47pm,Other,,0,658,657,11,True,True,17,0.8206999603385821,369,1
04/15/2026 6:00pm to 8:00pm,DateTime,40.0,1,661,660,11,True,True,27,0.9824697667047552,370,1
strivescan credit required (included in event registration),Other,,0,669,668,11,False,False,59,0.7605334849137402,373,1
01/31/2025 8:48am,Other,,0,671,670,11,True,True,17,0.7346252201609447,374,1
04/16/2026 10:00am to 12:00pm,DateTime,41.0,1,674,673,11,True,True,29,0.9858292691798434,375,1
student scanning will not be offered,Other,,0,682,681,11,False,False,36,0.7859527816452552,378,1
06/09/2025 10:55am,Other,,0,684,683,11,True,True,18,0.8751854367229319,379,1
04/16/2026 6:00pm to 8:00pm,DateTime,42.0,1,687,686,11,True,True,27,0.9798844121648392,380,1
strivescan credit required (included in event registration),Other,,0,695,694,11,False,False,59,0.7135962630263649,383,1
05/12/2025 1:31pm,Other,,0,697,696,11,True,True,17,0.8639653503641075,384,1
